!IPSummaryDump 1.3
!creator "ipsumdump -tL -r tcp2_enp132s0f0np0_2911.pcap"
!host inetlab-04
!runtime 1543576359.238223939 (Fri Nov 30 12:12:39 2018)
!data timestamp payload_len
1543522121.756117 1448
1543522121.757328 1448
1543522121.757375 0
1543522121.758539 1448
1543522121.759750 1448
1543522121.759848 0
1543522121.760962 1448
1543522121.762172 1448
1543522121.762271 0
1543522121.763388 1448
1543522121.764596 1448
1543522121.764644 0
1543522121.765807 1448
1543522121.767020 1448
1543522121.767061 0
1543522121.768229 1448
1543522121.769440 1448
1543522121.769486 0
1543522121.770651 1448
1543522121.771862 1448
1543522121.771961 0
1543522121.773074 1448
1543522121.774287 1448
1543522121.774391 0
1543522121.775496 1448
1543522121.776708 1448
1543522121.776806 0
1543522121.777919 1448
1543522121.779130 1448
1543522121.779172 0
1543522121.780342 1448
1543522121.781552 1448
1543522121.781655 0
1543522121.782763 1448
1543522121.783975 1448
1543522121.784023 0
1543522121.785185 1448
1543522121.786397 1448
1543522121.786497 0
1543522121.787608 1448
1543522121.788819 1448
1543522121.788916 0
1543522121.790031 1448
1543522121.791242 1448
1543522121.791290 0
1543522121.792453 1448
1543522121.793666 1448
1543522121.793709 0
1543522121.794875 1448
1543522121.796086 1448
1543522121.796133 0
1543522121.797298 1448
1543522121.798509 1448
1543522121.798610 0
1543522121.799721 1448
1543522121.800932 1448
1543522121.801031 0
1543522121.802142 1448
1543522121.803354 1448
1543522121.803454 0
1543522121.804565 1448
1543522121.805776 1448
1543522121.805820 0
1543522121.806988 1448
1543522121.808198 1448
1543522121.808300 0
1543522121.809410 1448
1543522121.810621 1448
1543522121.810669 0
1543522121.811832 1448
1543522121.813043 1448
1543522121.813141 0
1543522121.814255 1448
1543522121.815466 1448
1543522121.815564 0
1543522121.816678 1448
1543522121.817888 1448
1543522121.817938 0
1543522121.819099 1448
1543522121.820312 1448
1543522121.820356 0
1543522121.821521 1448
1543522121.822733 1448
1543522121.822780 0
1543522121.823945 1448
1543522121.825155 1448
1543522121.825253 0
1543522121.826366 1448
1543522121.826465 0
1543522121.827579 1448
1543522121.827679 0
1543522121.828789 1448
1543522121.828897 0
1543522121.830003 1448
1543522121.831212 1448
1543522121.831260 0
1543522121.832423 1448
1543522121.833634 1448
1543522121.833679 0
1543522121.834845 1448
1543522121.836056 1448
1543522121.836153 0
1543522121.837268 1448
1543522121.838479 1448
1543522121.838576 0
1543522121.839690 1448
1543522121.840901 1448
1543522121.841002 0
1543522121.842112 1448
1543522121.843323 1448
1543522121.843424 0
1543522121.844534 1448
1543522121.845745 1448
1543522121.845788 0
1543522121.846958 1448
1543522121.848167 1448
1543522121.848268 0
1543522121.849379 1448
1543522121.850590 1448
1543522121.850635 0
1543522121.851801 1448
1543522121.853012 1448
1543522121.853111 0
1543522121.854223 1448
1543522121.855434 1448
1543522121.855533 0
1543522121.856647 1448
1543522121.857857 1448
1543522121.857906 0
1543522121.859068 1448
1543522121.860280 1448
1543522121.860324 0
1543522121.861491 1448
1543522121.862702 1448
1543522121.862747 0
1543522121.863914 1448
1543522121.865124 1448
1543522121.865223 0
1543522121.866335 1448
1543522121.867547 1448
